business_class,description,is_load_business_class,single_or_multiple,load_family_root,family_root_base,family_root_base_exists_as_business_class,load_variant_base,variant_root_exists_as_business_class,naming_pattern,is_exact_variant_base,relationship_role,grouping_method,family_member_count,family_root_base_count,variant_bases_csv,related_members_csv,related_business_classes_csv
AM330RcpOut,The AM330RcpOut Raw Data Web Service contains operations that expose AM330RcpOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330RibOut,The AM330RibOut Raw Data Web Service contains operations that expose AM330RibOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330RinOut,The AM330RinOut Raw Data Web Service contains operations that expose AM330RinOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330RitOut,The AM330RitOut Raw Data Web Service contains operations that expose AM330RitOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330UrlOut,The AM330UrlOut Raw Data Web Service contains operations that expose AM330UrlOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330Work,The AM330Work Raw Data Web Service contains operations that expose AM330Work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM500Am500work,The AM500Am500work Raw Data Web Service contains operations that expose AM500Am500work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM501Am501work,The AM501Am501work Raw Data Web Service contains operations that expose AM501Am501work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM551Am551work,The AM551Am551work Raw Data Web Service contains operations that expose AM551Am551work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM580Am580sort,The AM580Am580sort Raw Data Web Service contains operations that expose AM580Am580sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AMShellProgramForBODFiles,The AMShellProgramForBODFiles Raw Data Web Service contains operations that expose AMShellProgramForBODFiles-related tasks in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP102Ap102work,The AP102Ap102work Raw Data Web Service contains operations that expose AP102Ap102work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP109Ap109Work,The AP109Ap109Work Raw Data Web Service contains operations that expose AP109Ap109Work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP110Ap110ven,The AP110Ap110ven Raw Data Web Service contains operations that expose AP110Ap110ven-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP115Ap115pmts,The AP115Ap115pmts Raw Data Web Service contains operations that expose AP115Ap115pmts-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP115Ap115wk1,The AP115Ap115wk1 Raw Data Web Service contains operations that expose AP115Ap115wk1-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP115Ap115wk2,The AP115Ap115wk2 Raw Data Web Service contains operations that expose AP115Ap115wk2-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP115Ismloc,The AP115Ismloc Raw Data Web Service contains operations that expose AP115Ismloc-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP125Ap125work,The AP125Ap125work Raw Data Web Service contains operations that expose AP125Ap125work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP126Ap126total,The AP126Ap126total Raw Data Web Service contains operations that expose AP126Ap126total-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP130Ap130Wf,The AP130Ap130Wf Raw Data Web Service contains operations that expose AP130Ap130Wf-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP131Ap131Indx,The AP131Ap131Indx Raw Data Web Service contains operations that expose AP131Ap131Indx-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP131Ap131Work,The AP131Ap131Work Raw Data Web Service contains operations that expose AP131Ap131Work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP133Ap133work,The AP133Ap133work Raw Data Web Service contains operations that expose AP133Ap133work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP135Ap1351work,The AP135Ap1351work Raw Data Web Service contains operations that expose AP135Ap1351work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP135Ap1352work,The AP135Ap1352work Raw Data Web Service contains operations that expose AP135Ap1352work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP136Ap1361sort,The AP136Ap1361sort Raw Data Web Service contains operations that expose AP136Ap1361sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP141Ap141work,The AP141Ap141work Raw Data Web Service contains operations that expose AP141Ap141work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP144Ap144work,The AP144Ap144work Raw Data Web Service contains operations that expose AP144Ap144work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP144Csvout,The AP144Csvout Raw Data Web Service contains operations that expose AP144Csvout-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP145Ap145sort,The AP145Ap145sort Raw Data Web Service contains operations that expose AP145Ap145sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP146Ap146count,The AP146Ap146count Raw Data Web Service contains operations that expose AP146Ap146count-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP146Ap146f,The AP146Ap146f Raw Data Web Service contains operations that expose AP146Ap146f-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP146Ap146scnt,The AP146Ap146scnt Raw Data Web Service contains operations that expose AP146Ap146scnt-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP146Ap146tcnt,The AP146Ap146tcnt Raw Data Web Service contains operations that expose AP146Ap146tcnt-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP146Tape,The AP146Tape Raw Data Web Service contains operations that expose AP146Tape-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP151Ap151isapp,The AP151Ap151isapp Raw Data Web Service contains operations that expose AP151Ap151isapp-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP151Ap151wfapp,The AP151Ap151wfapp Raw Data Web Service contains operations that expose AP151Ap151wfapp-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP151Ap151wfapt,The AP151Ap151wfapt Raw Data Web Service contains operations that expose AP151Ap151wfapt-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP151Ap151work,The AP151Ap151work Raw Data Web Service contains operations that expose AP151Ap151work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP156Ap156work,The AP156Ap156work Raw Data Web Service contains operations that expose AP156Ap156work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP156FrBoe,The AP156FrBoe Raw Data Web Service contains operations that expose AP156FrBoe-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP160Achtape,The AP160Achtape Raw Data Web Service contains operations that expose AP160Achtape-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AP160Ap160work,The AP160Ap160work Raw Data Web Service contains operations that expose AP160Ap160work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
